                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.56784,                0.30161,                 1.0208,                 0.9875,                0.99515,                0.99485,                0.88097,                 0.6348,                0.24267,                 1.1107,               7.43e-05,               7.43e-05,               7.43e-05
                     89,                0.57174,                0.30332,                 1.0288,                0.98493,                0.99687,                0.99485,                0.86686,                0.63919,                0.24099,                 1.1152,              6.935e-05,              6.935e-05,              6.935e-05
                     90,                0.56416,                0.31262,                 1.0211,                0.98251,                0.99208,                0.99485,                0.86152,                0.64048,                 0.2493,                 1.1111,               6.44e-05,               6.44e-05,               6.44e-05
                     91,                0.47311,                 0.2152,                0.97101,                0.95124,                0.99351,                 0.9919,                0.85473,                0.64596,                 0.2621,                 1.1273,              5.945e-05,              5.945e-05,              5.945e-05
                     92,                0.46219,                0.21149,                0.96408,                0.98681,                0.98591,                0.99485,                 0.8551,                 0.6536,                0.24961,                 1.1262,               5.45e-05,               5.45e-05,               5.45e-05
                     93,                0.46773,                0.22962,                0.97313,                0.97941,                0.99227,                0.99485,                0.86086,                0.64351,                0.24737,                 1.1289,              4.955e-05,              4.955e-05,              4.955e-05
                     94,                0.45595,                0.21096,                0.95495,                0.98496,                0.99241,                0.99485,                0.86177,                0.63665,                0.24705,                 1.1134,               4.46e-05,               4.46e-05,               4.46e-05
                     95,                0.45263,                0.24238,                0.95427,                0.98477,                0.99485,                0.99472,                0.86847,                0.64464,                0.23294,                 1.1222,              3.965e-05,              3.965e-05,              3.965e-05
                     96,                0.45705,                0.20299,                0.96279,                0.98769,                0.99255,                0.99472,                 0.8587,                0.64717,                0.24563,                 1.1213,               3.47e-05,               3.47e-05,               3.47e-05
                     97,                0.44158,                 0.1961,                0.93775,                0.99237,                0.99687,                0.99472,                0.85692,                0.64567,                0.24123,                 1.1267,              2.975e-05,              2.975e-05,              2.975e-05
                     98,                0.43851,                0.27049,                0.94943,                0.98646,                0.99409,                0.99485,                  0.866,                0.64281,                0.23191,                 1.1223,               2.48e-05,               2.48e-05,               2.48e-05
                     99,                0.47447,                0.20352,                0.99926,                0.98648,                0.99456,                0.99485,                 0.8673,                0.64632,                0.23526,                 1.1244,              1.985e-05,              1.985e-05,              1.985e-05
                    100,                 0.4367,                0.18961,                0.94503,                0.99078,                0.99687,                0.99472,                0.86614,                0.64306,                0.23493,                 1.1202,               1.49e-05,               1.49e-05,               1.49e-05
